Trader,Asset,Side,Notional_Exposure,Initial_Margin,Margin_Utilization,Liquidation_Distance,Leverage_Flag,Margin_Flag,Risk_Severity
Trader_A,BTC,Long,1678988.671875,167898.8671875,1.678988671875,0.0666666666666666,BREACH,WARNING,CRITICAL
Trader_A,ETH,Long,7476.055699727825,747.6055699727826,0.0074760556997278,0.5,OK,OK,NORMAL
Trader_B,BTC,Long,80731.40882025415,8073.140882025415,0.0807314088202541,0.1,OK,OK,NORMAL
Trader_B,ETH,Short,1500.2984158990812,150.02984158990813,0.001500298415899,0.5,OK,OK,NORMAL
Trader_C,BTC,Short,76756.69183549802,7675.669183549802,0.076756691835498,0.1000000000000001,OK,OK,NORMAL
Trader_C,ETH,Short,68967.79907226562,6896.7799072265625,0.0689677990722656,0.05,BREACH,OK,WARNING
Trader_D,BTC,Long,33815.13046201913,3381.5130462019133,0.0338151304620191,0.5,OK,OK,NORMAL
Trader_D,ETH,Long,3683.058000111786,368.3058000111786,0.0036830580001117,0.1999999999999999,OK,OK,NORMAL
Trader_E,BTC,Long,164121.31620863063,16412.131620863063,0.1641213162086306,0.5,OK,OK,NORMAL
Trader_E,ETH,Short,6410.730380246288,641.0730380246288,0.0064107303802462,0.1999999999999999,OK,OK,NORMAL
